product_name,rating,number_of_reviews,price
Crocs Women's Kadee Ii Sandals,4.2,17.5K+,$29.99
Teva Women's W Flatform Universal Sandal,4.7,7K+,$58.80
"OOFOS OOriginal Sport Sandal - Lightweight Recovery Footwear - Reduces Stress on Feet, Joints & Back - Machine Washable - Hand-Painted Graphics",4.5,9.4K+,N/A
"Crocs Women’s Brooklyn Low Wedges, Platform Sandals",4.6,11.7K+,N/A
Teva Women's Original Universal Sandal,4.7,18.7K+,$35.37
Reef Women’s Water Vista Sandal,4.5,1.9K+,$59.95
Crocs Women's Brooklyn Platform Slides Sandal,4.2,376,N/A
Teva womens Hurricane Xlt2,4.4,2.7K+,$74.95
Skechers Women's On-The-go 600-Brilliancy Sport Sandal,4.6,25.1K+,$42.53
Reef Women's Bliss Nights Flip-Flop,4.3,10.7K+,$23.51
Reef Women's Cushion Breeze Flip-Flop,4.4,16.2K+,$38.08
adidas Unisex-Adult Adilette Aqua Slides Sandal,4.5,50.4K+,N/A
Dansko Rowan Sandal for Women – Memory Foam and Cork Footbed for Comfort and Arch Support – Lightweight Rubber Outsole for Long-Lasting Wear – Versatile Casual to Dressy Footwear,4.6,1.3K+,N/A
Crocs Women's Kadie II Flip Flops,4.4,38.5K+,$15.50
The Drop Women's Britt Tiered Maxi Tent Dress,4.1,2.8K+,$29.95
"Hanes Women's Perfect-T Short-Sleeve T-Shirt, Women’s Crewneck T-Shirt, Women’s Short-Sleeve Cotton Tee",4.2,39.6K+,N/A
Amazon Essentials Women's Two Strap Heeled Sandal,4.3,8.9K+,$23.92
"Teva Women's Hurricane XLT 2 Sandal, (Black) , 7",4.6,994,$74.95
Chaco Women's Z1 Classic Sandal,4.5,6.2K+,$60.00
Steve Madden Women's Mona Sandal,4.3,161,$89.95
Teva womens Hurricane 4 Sport Sandal,4.7,2.5K+,$52.37
Pact Women's Organic Cotton Camisole Tank Top with Built-in Shelf Bra,4.3,4.8K+,$17.99
Steve Madden Women's Hadyn Sandal,3.8,285,$79.00
Birkenstock Women's Arizona,4.5,4.3K+,$109.28
CUSHIONAIRE Women's Luna Cork footbed Sandal with +Comfort,4.5,70.5K+,N/A
The Drop Women's Monika Flat H-Band Slide Sandal,4.1,5.7K+,$27.92
Amazon Essentials Women's Relaxed Fit Half-Sleeve Waisted Midi A-Line Dress,4.1,3.1K+,$28.50
Steve Madden Women's Mayven Slide Sandal,3.8,81,$89.95
Amazon Essentials Women's Pull-On Knit Midi Skirt (Available in Plus Size),4.2,2.8K+,$21.80
Soda Topic Open Toe Buckle Ankle Strap Espadrilles Flatform Wedge Casual Sandal,4.5,17.9K+,N/A
ANRABESS Women’s Summer Casual Loose Sleeveless Spaghetti Strap Asymmetric Tiered Beach Maxi Long Dress,4.1,2.1K+,$44.99
Reef Women's Cushion Vista Hi Sandal,4.4,4.5K+,N/A
Crocs Women's Classic Slide | Platform Sandals,4.5,1.7K+,N/A
Dr. Martens Women's Voss Ii Sandal,4.6,1.1K+,$78.64
Crocs Women's Literide 360 Sandals,4.3,2.5K+,$36.88
Crocs Women's Tulum Toe Post Sandals,4.6,5.7K+,N/A
Loemes Summer Cute Floral Flowy Knee Length Sundressses Beach Dress for Women 2023,4.1,1.2K+,$33.99
Crocs Women's Splash Flip Flops,4.4,306,N/A
"Clarks Women's Arla Glison Flip-Flop, black fabric, 8 Medium US",4.5,1.7K+,$35.37
"Teva Women's Hurricane XLT2 Sandal, Sherbert Multi, 8",4.6,41,$64.99
Old Navy Women Beach Summer Casual Flip Flop Sandals,4.4,12.8K+,$11.99
"Nike Women's Flip-Flop, Women 2",4.6,5.8K+,N/A
Chaco Women's ZX3 Classic Sport Sandal,4.5,9.1K+,N/A
Soda ACCOUNT ~ Women Open Toe Two Bands Lug sole Fashion Block Heel Sandals with Adjustable Ankle Strap,4.5,2.6K+,N/A
"Teva Women's Hurricane 4 Sport Sandal, Hazel Black, 8",4.6,572,$52.49
Amazon Essentials Women's Short-Sleeve Scoop Neck Swing Dress (Available in Plus Size),4.3,11.4K+,$19.00
Crocs Women's Capri V Sporty Flip Flops | Sandals,4.5,3.8K+,$38.99
Dr. Martens Women's Blaire Brando Fisherman Sandal,4.3,6K+,$82.79
